Method, FileNum, DataSet, Time (minutes)
TimingsLog7Zip, 0, 0, 0.013408
TimingsLog7Zip, 1, 1, 0.017042
TimingsLog7Zip, 2, 2, 0.021004
TimingsLog7Zip, 3, 3, 0.028980
TimingsLog7Zip, 4, 4, 0.096991
TimingsLog7Zip, 5, 5, 0.183745
TimingsLog7Zip, 6, 0, 0.015253
TimingsLog7Zip, 7, 1, 0.019028
TimingsLog7Zip, 8, 2, 0.022779
TimingsLog7Zip, 9, 3, 0.031164
TimingsLog7Zip, 10, 4, 0.099475
TimingsLog7Zip, 11, 5, 0.186737
TimingsLog7Zip, 12, 0, 0.015777
TimingsLog7Zip, 13, 1, 0.018561
TimingsLog7Zip, 14, 2, 0.021517
TimingsLog7Zip, 15, 3, 0.027252
TimingsLog7Zip, 16, 4, 0.089894
TimingsLog7Zip, 17, 5, 0.181095
TimingsLog7Zip, 18, 0, 0.016184
TimingsLog7Zip, 19, 1, 0.019597
TimingsLog7Zip, 20, 2, 0.022641
TimingsLog7Zip, 21, 3, 0.028559
TimingsLog7Zip, 22, 4, 0.090915
TimingsLog7Zip, 23, 5, 0.181564
TimingsLog7Zip, 24, 0, 0.017255
TimingsLog7Zip, 25, 1, 0.021577
TimingsLog7Zip, 26, 2, 0.025418
TimingsLog7Zip, 27, 3, 0.033369
TimingsLog7Zip, 28, 4, 0.100056
TimingsLog7Zip, 29, 5, 0.185763
TimingsLog7Zip, 30, 0, 0.017920
TimingsLog7Zip, 31, 1, 0.022320
TimingsLog7Zip, 32, 2, 0.026054
TimingsLog7Zip, 33, 3, 0.034261
TimingsLog7Zip, 34, 4, 0.098719
TimingsLog7Zip, 35, 5, 0.182931
TimingsLog7Zip, 36, 0, 0.018834
TimingsLog7Zip, 37, 1, 0.023499
TimingsLog7Zip, 38, 2, 0.026756
TimingsLog7Zip, 39, 3, 0.034068
TimingsLog7Zip, 40, 4, 0.099044
TimingsLog7Zip, 41, 5, 0.184290
TimingsLog7Zip, 42, 0, 0.019627
TimingsLog7Zip, 43, 1, 0.023795
TimingsLog7Zip, 44, 2, 0.026867
TimingsLog7Zip, 45, 3, 0.033953
TimingsLog7Zip, 46, 4, 0.095865
TimingsLog7Zip, 47, 5, 0.183599
TimingsLog7Zip, 48, 0, 0.020026
TimingsLog7Zip, 49, 1, 0.024169
TimingsLog7Zip, 50, 2, 0.027212
TimingsLog7Zip, 51, 3, 0.034687
TimingsLog7Zip, 52, 4, 0.095949
TimingsLog7Zip, 53, 5, 0.185673
TimingsLog7Zip, 54, 0, 0.021624
TimingsLog7Zip, 55, 1, 0.025511
TimingsLog7Zip, 56, 2, 0.029474
TimingsLog7Zip, 57, 3, 0.037753
TimingsLog7Zip, 58, 4, 0.105451
TimingsLog7Zip, 59, 5, 0.194160
TimingsLog7Zip, 60, 0, 0.022331
TimingsLog7Zip, 61, 1, 0.026507
TimingsLog7Zip, 62, 2, 0.029988
TimingsLog7Zip, 63, 3, 0.037238
TimingsLog7Zip, 64, 4, 0.100094
TimingsLog7Zip, 65, 5, 0.186631
TimingsLog7Zip, 66, 0, 0.022907
TimingsLog7Zip, 67, 1, 0.027640
TimingsLog7Zip, 68, 2, 0.030912
TimingsLog7Zip, 69, 3, 0.037657
TimingsLog7Zip, 70, 4, 0.101704
TimingsLog7Zip, 71, 5, 0.186995
TimingsLog7Zip, 72, 0, 0.023540
TimingsLog7Zip, 73, 1, 0.026753
TimingsLog7Zip, 74, 2, 0.028708
TimingsLog7Zip, 75, 3, 0.034766
TimingsLog7Zip, 76, 4, 0.098071
TimingsLog7Zip, 77, 5, 0.191525
TimingsLog7Zip, 78, 0, 0.024641
TimingsLog7Zip, 79, 1, 0.029009
TimingsLog7Zip, 80, 2, 0.032600
TimingsLog7Zip, 81, 3, 0.040510
TimingsLog7Zip, 82, 4, 0.107843
TimingsLog7Zip, 83, 5, 0.195669
TimingsLog7Zip, 84, 0, 0.025576
TimingsLog7Zip, 85, 1, 0.029708
